	ID	ODPnumbO	ODPnumbD	ODPnumbAvg	VarO	VarD	VarAvg	spd	FrstDrvO	FrstDrvD	FrstDrvAvg	scndDrvO	scndDrvD	scndDrAvg	OTime	Dtime
0	0	2	1	1.5	4.0	0.0	2.0	0.061626657	0.0	0.0	0.0	0.0	0.0	0.0	0	0
1	1	4	1	2.5	11.0	0.0	5.5	0.099845201	-0.077972109	0.0	-0.038986054	-0.001814899	0.0	-0.000907449	77	0
2	2	43	5	24.0	15.23418064	3.84	9.537090318999999	4.0	0.014767772	0.0	0.007383886	-0.001273653	0.0	-0.000636826	95	0
3	3	2	2	2.0	0.0	0.0	0.0	5.548387097000001	0.0	0.0	0.0	0.0	0.0	0.0	0	0
4	4	1	2	1.5	0.0	0.0	0.0	0.671875	0.0	0.0	0.0	0.0	0.0	0.0	0	0
5	5	6	2	4.0	75.22222222	4.0	39.61111111	0.097083725	0.0029027590000000004	0.26666666699999997	0.134784713	-7.36e-05	0.0	-3.68e-05	4259	15
6	6	6	2	4.0	11.55555556	1.0	6.277777778	0.09921169	-0.000800072	0.0	-0.000400036	-9.79e-06	0.0	-4.89e-06	4444	0
7	7	2	1	1.5	1.0	0.0	0.5	12.58536585	0.0	0.0	0.0	0.0	0.0	0.0	0	0
8	8	16	12	14.0	31.234375	5.222222222	18.22829861	4.26446281	-0.005560505	0.011649457	0.003044476	-0.0032537440000000003	0.0	-0.0016268720000000001	90	28
9	9	5	2	3.5	112.0	4.0	58.0	2.850828729	0.17662937199999998	-0.066666667	0.054981353	0.0032990109999999997	0.0	0.001649505	121	60
10	10	1	1	1.0	0.0	0.0	0.0	0.137967914	0.0	0.0	0.0	0.0	0.0	0.0	0	0
11	11	7	5	6.0	3.428571429	23.36	13.39428571	3.6083916080000003	0.000699361	-0.24273858899999998	-0.121019614	-1.55e-05	0.0	-7.74e-06	3332	42
12	12	1	1	1.0	0.0	0.0	0.0	5.64	0.0	0.0	0.0	0.0	0.0	0.0	0	0
13	13	1	2	1.5	0.0	1.0	0.5	2.238095238	0.0	0.0	0.0	0.0	0.0	0.0	0	0
14	14	3	2	2.5	0.8888888890000001	0.0	0.444444444	11.75	0.0	0.0	0.0	0.0	0.0	0.0	0	0
15	15	7	1	4.0	31.34693878	0.0	15.67346939	3.2049689439999995	0.181744312	0.0	0.090872156	0.0	0.0	0.0	39	0
16	16	2	1	1.5	4.0	0.0	2.0	2.866666667	-0.181818182	0.0	-0.090909091	0.0	0.0	0.0	22	0
17	17	2	4	3.0	1.0	10.75	5.875	2.31147541	0.0	-0.063218391	-0.031609195	0.0	0.0	0.0	0	116
18	18	1	1	1.0	0.0	0.0	0.0	5.875	0.0	0.0	0.0	0.0	0.0	0.0	0	0
19	19	2	7	4.5	0.0	2.285714286	1.142857143	1.7916666669999999	0.0	-0.28	-0.14	0.0	0.0	0.0	0	5
20	20	42	2	22.0	25.72562358	16.0	20.86281179	5.431578947	-0.0006954610000000001	0.5	0.24965226899999998	-6.02e-06	0.0	-3.01e-06	9337	16
21	21	2	3	2.5	1.0	0.8888888890000001	0.944444444	2.473684211	0.0	0.0	0.0	0.0	0.0	0.0	0	0
22	22	1	3	2.0	0.0	2.666666667	1.333333333	2.701570681	0.0	-0.115384615	-0.057692308	0.0	0.0	0.0	0	8
23	23	5	1	3.0	13.76	0.0	6.88	3.265822785	-0.000594816	0.0	-0.000297408	3.74e-07	0.0	1.87e-07	9023	0
24	24	2	8	5.0	1.0	44.4375	22.71875	0.971751412	0.0	0.034067702000000005	0.017033851000000003	0.0	0.000824102	0.000412051	0	371
25	25	8	1	4.5	2.4375	0.0	1.21875	9.4	-0.179487179	0.0	-0.08974359	0.0	0.0	0.0	7	0
26	26	1	3	2.0	0.0	0.8888888890000001	0.444444444	86.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
27	27	8	3	5.5	2.4375	0.8888888890000001	1.6631944440000002	36.04761905	-0.179487179	0.0	-0.08974359	0.0	0.0	0.0	7	0
28	28	6	2	4.0	50.22222222	0.0	25.11111111	3.510204082	0.032854029	-4.28e-16	0.016427015	-0.000253405	0.0	-0.000126702	255	47
29	29	5	4	4.5	0.0	6.0	3.0	141.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
30	30	49	49	49.0	31.97001249	4.614743857	18.29237818	4.2295081969999995	0.17866943600000001	-0.036734332	0.070967552	0.0008151539999999999	0.0	0.00040757699999999995	72	47
31	31	1	1	1.0	0.0	0.0	0.0	12.9	0.0	0.0	0.0	0.0	0.0	0.0	0	0
32	32	4	2	3.0	2.0	0.0	1.0	2.12345679	-0.014492753999999998	0.0	-0.007246376999999999	0.0	0.0	0.0	184	0
33	33	11	6	8.5	34.7768595	15.55555556	25.16620753	3.739130435	0.095214232	0.260568998	0.177891615	-0.006545648	0.0	-0.003272824	89	31
34	34	3	3	3.0	2.666666667	0.8888888890000001	1.7777777780000001	1.8362989319999998	0.06818181799999999	-0.047619048	0.010281385	0.0	0.0	0.0	44	21
35	35	1	1	1.0	0.0	0.0	0.0	2.774193548	0.0	0.0	0.0	0.0	0.0	0.0	0	0
36	36	1	3	2.0	0.0	6.222222222	3.111111111	5.875	0.0	0.15727003	0.078635015	0.0	0.0	0.0	0	21
37	37	4	2	3.0	2.0	1.0	1.5	11.2173913	0.0	0.0	0.0	0.0	0.0	0.0	0	0
38	38	1	3	2.0	0.0	3.5555555560000003	1.7777777780000001	60.0	0.0	0.06557377	0.032786885	0.0	0.0	0.0	0	61
39	39	3	3	3.0	3.5555555560000003	3.5555555560000003	3.5555555560000003	141.0	0.06557377	0.033333333	0.049453552000000005	0.0	0.0	0.0	61	60
40	40	1	3	2.0	0.0	3.5555555560000003	1.7777777780000001	12.20967742	0.0	0.033333333	0.016666667	0.0	0.0	0.0	0	60
41	41	3	1	2.0	0.8888888890000001	0.0	0.444444444	8.745762712000001	1.0	0.0	0.5	0.0	0.0	0.0	1	0
42	42	1	3	2.0	0.0	3.5555555560000003	1.7777777780000001	3.810810811	0.0	0.256410256	0.128205128	0.0	0.0	0.0	0	12
43	43	3	3	3.0	0.8888888890000001	3.5555555560000003	2.222222222	7.885416667	1.0	0.256410256	0.628205128	0.0	0.0	0.0	1	12
44	44	13	1	7.0	18.36686391	0.0	9.183431953	70.5	0.007073215	0.0	0.0035366079999999997	-0.000108132	0.0	-5.41e-05	312	0
45	45	1	1	1.0	0.0	0.0	0.0	20.64	0.0	0.0	0.0	0.0	0.0	0.0	0	0
46	46	13	1	7.0	18.36686391	0.0	9.183431953	28.03703704	0.007073215	0.0	0.0035366079999999997	-0.000108132	0.0	-5.41e-05	312	0
47	47	5	7	6.0	27.84	51.10204082	39.47102041	3.9692307689999997	0.018574745	-0.050546047999999996	-0.015985651	-0.005912058	0.001022057	-0.002445	87	167
48	48	1	7	4.0	0.0	9.632653061000001	4.8163265310000005	2.58	0.0	-0.062124248	-0.031062124	0.0	0.0	0.0	0	50
49	49	10	3	6.5	6.24	0.8888888890000001	3.564444444	3.685714286	-0.13636363599999998	0.0	-0.06818181799999999	0.0	0.0	0.0	30	0
